CLASSIFICAÇAO,SUBCLASSIFICACAO,LUGAR,LINK,REGIÃO,AVALIAÇAO DA ISA,CUPOM DESCONTO,,ENDEREÇO,ENDEREÇO 2
Lojas,Brechó,Brechó Trésor By Saia de Filó,https://www.instagram.com/reel/DJ-F83gS1dl/?igsh=MXZndzNlNnhwdWRyeg==,Blumenau-SC,Lá você encontra várias peças lindas e também artigos de luxo!,Não,,https://maps.app.goo.gl/3FPJFMVNBeTueNnL6,
Lojas,Velas aromáticas,Zen Pra Caralh*,https://www.instagram.com/reel/DOMY5WqD0pS/?igsh=MTR0ajFzcTljNHYycw==,Blumenau-SC,Velas super cheirosas e muito criativas!,Não,,https://maps.app.goo.gl/55L6dsNP7FnFxuXd6,
Lojas,Shopping,Neumarkt Shopping,https://www.instagram.com/reel/DRqBvtODwE5/?igsh=MWRjZTJ1dzduY2tsNw==,Blumenau-SC,"Um lugar pra passar o tempo sem perceber, com muitas lojas e restaurantes de qualidade!",Não,,https://maps.app.goo.gl/Ypz8bCv6VbnvkhD98,
Prestadores de serviço,Dentista,Guilherme Nicoletti,https://www.instagram.com/reel/DLs0UbiyYeT/?igsh=MXR1YTBuOTlvOXpyZw==,Blumenau-SC,Super atencioso e muito detalhista! ,10% OFF,Mostrar que é meu seguidor(a),https://maps.app.goo.gl/uzM2zQuXzFbt6KMh9,
Prestadores de serviço,Lash Designer,Clarisse,https://www.instagram.com/reel/DPjeX0hDrkf/?igsh=eHhtaHUzY3BlcDc4,Blumenau-SC,Muito caprichosa e é uma fofa comigo!,10% OFF,Mostrar que é meu seguidor(a),https://maps.app.goo.gl/kyuD8kjensETBVLm8,
Prestadores de serviço,Nail Designer,Mariele,https://www.instagram.com/p/DTbPwe9DzdC/?igsh=djVrdGU0eGZzNHZv,Blumenau-SC,Super gente boa e faz um trabalho de milhões!,Não,,https://maps.app.goo.gl/D9M61ZUjB5UTfYXV8,
Prestadores de serviço,"Sobrancelhas, pele e boca",Lu Kempner Beauty,https://www.instagram.com/reel/DMi2OZaSsHB/?igsh=Ymlxb3Nkdnp4b2N1,Blumenau-SC,Amo que ela é super criativa e entrega um trabalho impecável!,10% OFF NO PIX/DINHEIRO,Mostrar que é meu seguidor(a),https://maps.app.goo.gl/D9M61ZUjB5UTfYXV8,
Prestadores de serviço,Maquiagem e penteado,Milena Bett,https://www.instagram.com/reel/DM_MQf4SqMc/?igsh=cTd2ZHJkbGdhMXhk,Blumenau-SC,Muito querida e sempre entrega makes e penteados lindíssimos!,5% OFF,Mostrar que é meu seguidor(a),https://maps.app.goo.gl/VhULo4R7v3Eke6Dv5,
Prestadores de serviço,Maquiagem e penteado,Gisa Martins,https://www.instagram.com/reel/DQE1dm5EaR9/?igsh=Y3BhbHIwZTB4dGph,Blumenau-SC,"Sabe ressaltar a beleza de forma natural, mãos de fada!",Não,,https://maps.app.goo.gl/kfeBcHbdB8bhmB5x7,
Prestadores de serviço,Arquitetura,TAAS Arquitetura,https://www.instagram.com/reel/DPXMairjwMf/?igsh=MXd3YjdudTQ0ZGNoeA==,Blumenau-SC,"Super atenciosas, detalhistas e entregam tudo MUITO LINDO!",Não,,https://maps.app.goo.gl/WzFbSj8y7GfNb2Fr6,
Prestadores de serviço,Fotografia,Genuína Fotografia,https://www.instagram.com/reel/DSnuCPaj6xp/?igsh=bjZzeTU1ZjlyNmls,Blumenau-SC,Uma fofaaa! Me deixa super confortável e entrega fotos lindas!,Não,,Somente via Instagram/Whatsapp,
